"case_order","source_record_id","korean_source","english_reference","matched_terms","human_decision","human_note"
"001","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000248362","새로고침은 브라우저 캐시를 지우고 서버에서 최신 버전의 페이지를 가져옵니다.","Refresh clears the browser cache and fetches the latest version of the page from the server.","캐시 | 서버","",""
"002","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000027425","CRUD 연산은 데이터베이스를 관리하는 데 필수적인 기능이며, 모든 데이터베이스 시스템에서 지원됩니다.","CRUD operations are essential for managing databases and are supported by all database systems.","데이터베이스","",""
"003","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000309601","실시간 운영 체제(RTOS)는 실시간 응답이 필수적인 임베디드 시스템에서 사용되는 특수한 운영 체제입니다.","A real-time operating system (RTOS) is a specialized operating system used in embedded systems where real-time response is essential.","운영 체제","",""
"004","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000301680","쿠버네티스는 애플리케이션의 배포, 스케일링, 관리를 자동화하는 데 사용할 수 있습니다.","Kubernetes can be used to automate the deployment, scaling, and management of applications.","배포","",""
"005","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000249095","클랭은 C, C++, Objective-C, Objective-C++, Swift 등 다양한 프로그래밍 언어로 작성된 소스 코드를 컴파일하는 오픈 소스 컴파일러 프레임워크입니다.","Clang is an open-source compiler framework for languages such as C, C++, Objective-C, Objective-C++, and Swift.","오픈 소스","",""
"006","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000009364","git은 버전 관리 시스템으로, 소프트웨어 개발자들이 코드 변경 사항을 추적하고 관리하는 데 사용됩니다.","Git is a version control system that software developers use to track and manage changes to their code.","소프트웨어","",""
"007","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000227701","클라우드 보안은 클라우드 컴퓨팅의 이점을 활용하면서 데이터와 시스템을 안전하게 유지하는 데 필수적입니다.","Cloud security is essential for leveraging the benefits of cloud computing while keeping data and systems secure.","클라우드 컴퓨팅","",""
"008","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000120253","자바스크립트는 브라우저에서 실행되므로 서버에 의존하지 않습니다.","JavaScript runs in the browser, so it does not rely on the server.","서버","",""
"009","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000061027","로드 밸런싱은 여러 서버에 걸쳐 트래픽을 분산시켜 단일 지점 장애로부터 애플리케이션을 보호하고 성능을 향상시키는 기술입니다.","Load balancing is a technique for distributing traffic across multiple servers to protect applications from single points of failure and improve performance.","서버","",""
"010","lemon-mint/korean_parallel_sentences_v1.1@c3ffa5bfe5bf0cd5b4d634e863978b5eb265c9e1:train-00000-of-00001:000226135","동시성 제어는 여러 사용자가 동시에 데이터베이스에 액세스할 때 데이터 무결성을 유지하는 기술입니다.","Concurrency control is a technique to maintain data integrity when multiple users access a database concurrently.","데이터베이스","",""
