review_key,case_id,mode,manual_initial_needs_revision,manual_severity,manual_primary_error,manual_error_types,pairwise_outcome,review_status,reviewer,note,source_text,reference_text,initial_translation,final_translation,agent_initial_passed,agent_initial_error_types,agent_initial_summary,retry_count,stop_reason
evaluation-v1-008::agent,evaluation-v1-008,agent,false,,,,same,confirmed,Sup,,자바스크립트는 브라우저에서 실행되므로 서버에 의존하지 않습니다.,"JavaScript runs in the browser, so it does not rely on a server.","JavaScript is running in a browser, so it does not depend on the server.","JavaScript is running in a browser, so it does not depend on the server.",True,[],The translation accurately conveys the original meaning without errors.,0,passed
evaluation-v1-008::agent_rag,evaluation-v1-008,agent_rag,false,,,,same,confirmed,Sup,,자바스크립트는 브라우저에서 실행되므로 서버에 의존하지 않습니다.,"JavaScript runs in the browser, so it does not rely on a server.","JavaScript is running in a browser, so it does not depend on the server.","JavaScript is running in a browser, so it does not depend on the server.",True,[],"The translation is accurate but lacks revision, as the candidate is identical to the source. The term 'server' is correctly translated, but the phrase 'does not depend on the server' is redundant and could be improved.",0,passed
evaluation-v1-012::agent,evaluation-v1-012,agent,true,MAJOR,omission_addition,"[""omission_addition"",""term""]",same,confirmed,Sup,"Standalone subject ""Docker"" was replaced by unanchored ""It""; required deployment term was rendered as ""distribution"".","도커는 오늘날 가장 인기 있는 컨테이너 플랫폼 중 하나이며, 개발자와 운영자 모두에게 애플리케이션 배포를 더 쉽고 효율적으로 만드는 데 사용되고 있습니다.","Docker is one of the most popular container platforms today, and it is used by both developers and operators to make application deployment easier and more efficient.","It's one of the most popular container platforms today, and it's used to make application distribution easier and more efficient for developers and operators.","It's one of the most popular container platforms today, and it's used to make application distribution easier and more efficient for developers and operators.",True,[],The candidate translation accurately reflects the original Korean text with proper terminology and structure.,0,passed
evaluation-v1-012::agent_rag,evaluation-v1-012,agent_rag,true,MAJOR,omission_addition,"[""omission_addition""]",same,confirmed,Sup,"Standalone subject ""Docker"" was replaced by unanchored ""It"".","도커는 오늘날 가장 인기 있는 컨테이너 플랫폼 중 하나이며, 개발자와 운영자 모두에게 애플리케이션 배포를 더 쉽고 효율적으로 만드는 데 사용되고 있습니다.","Docker is one of the most popular container platforms today, and it is used by both developers and operators to make application deployment easier and more efficient.","It's one of the most popular container platforms today, and it's used to make application deployment easier and more efficient for developers and operators.","It's one of the most popular container platforms today, and it's used to make application deployment easier and more efficient for developers and operators.",True,[],The translation is mostly accurate with minor adjustments to ensure clarity and precision.,0,passed
evaluation-v1-013::agent,evaluation-v1-013,agent,false,,,,same,confirmed,Sup,,아르두이노 시스템은 전자 장치를 제어하는 데 사용되는 오픈 소스 하드웨어 및 소프트웨어 플랫폼입니다.,The Arduino system is an open-source hardware and software platform used for controlling electronic devices.,Arduino systems are the open source hardware and software platforms used to control electronic devices.,Arduino systems are the open source hardware and software platforms used to control electronic devices.,True,[],"The translation accurately captures the source text's meaning, maintaining proper nouns and technical terms while ensuring natural English fluency.",0,passed
evaluation-v1-013::agent_rag,evaluation-v1-013,agent_rag,false,,,,same,confirmed,Sup,,아르두이노 시스템은 전자 장치를 제어하는 데 사용되는 오픈 소스 하드웨어 및 소프트웨어 플랫폼입니다.,The Arduino system is an open-source hardware and software platform used for controlling electronic devices.,Arduino systems are the open source hardware and software platforms used to control electronic devices.,Arduino systems are the open source hardware and software platforms used to control electronic devices.,True,[],The translation accurately captures the original meaning with appropriate terminology and structure.,0,passed
evaluation-v1-015::agent,evaluation-v1-015,agent,true,MAJOR,omission_addition,"[""omission_addition""]",same,confirmed,Sup,"Standalone subject ""Load balancing"" was replaced by unanchored ""It"".","로드 밸런싱은 클라우드 컴퓨팅, 웹 호스팅, 기업 네트워크 등 다양한 환경에서 사용됩니다.","Load balancing is used in a variety of environments, including cloud computing, web hosting, and enterprise networks.","It's used in a variety of environments: cloud computing, web hosting, corporate networks.","It's used in a variety of environments: cloud computing, web hosting, corporate networks.",True,[],"The translation accurately renders the source text with proper terminology and structure, maintaining clarity and fluency.",0,passed
evaluation-v1-015::agent_rag,evaluation-v1-015,agent_rag,true,MAJOR,omission_addition,"[""omission_addition""]",same,confirmed,Sup,"Standalone subject ""Load balancing"" was replaced by unanchored ""It"".","로드 밸런싱은 클라우드 컴퓨팅, 웹 호스팅, 기업 네트워크 등 다양한 환경에서 사용됩니다.","Load balancing is used in a variety of environments, including cloud computing, web hosting, and enterprise networks.","It's used in a variety of environments: cloud computing, web hosting, corporate networks.","It's used in a variety of environments: cloud computing, web hosting, corporate networks.",True,[],The translation accurately conveys the source text with correct terminology and proper structure.,0,passed
evaluation-v1-038::agent,evaluation-v1-038,agent,false,,,,same,confirmed,Sup,,"정보 검색 시스템은 웹 검색, 데이터베이스 검색, 디지털 라이브러리 검색 등 다양한 응용 분야에서 사용됩니다.","Information retrieval systems are used in a variety of applications, including web search, database search, and digital library search.","Information search systems are used in various applications, such as web search, database search, digital library search.","Information search systems are used in various applications, such as web search, database search, digital library search.",True,[],"The translation accurately captures the original meaning with appropriate terminology and structure, showing high quality.",0,passed
evaluation-v1-038::agent_rag,evaluation-v1-038,agent_rag,false,,,,same,confirmed,Sup,,"정보 검색 시스템은 웹 검색, 데이터베이스 검색, 디지털 라이브러리 검색 등 다양한 응용 분야에서 사용됩니다.","Information retrieval systems are used in a variety of applications, including web search, database search, and digital library search.","Information search systems are used in various applications, such as web search, database search, digital library search.","Information search systems are used in various applications, such as web search, database search, digital library search.",True,[],"The translation accurately captures the source text with correct terminology and proper structure, though minor redundancy in 'web search' could be addressed for clarity.",0,passed
