review_key,case_id,mode,manual_initial_needs_revision,manual_severity,manual_primary_error,manual_error_types,pairwise_outcome,review_status,reviewer,note,source_text,reference_text,initial_translation,final_translation,agent_initial_passed,agent_initial_error_types,agent_initial_summary,retry_count,stop_reason
evaluation-v1-004::agent,evaluation-v1-004,agent,true,MAJOR,term,"[""term"",""omission_addition"",""fluency_grammar""]",improved,confirmed,Sup,"AI draft (Claude). Initial: 'automaticize' (nonstandard), 'sketching' for scaling, 'distribution' for deployment, subject Kubernetes omitted. Final fixed most, but 'distribution' term error remains.","쿠버네티스는 애플리케이션의 배포, 스케일링, 관리를 자동화하는 데 사용할 수 있습니다.","Kubernetes can be used to automate the deployment, scaling, and management of applications.","It can be used to automaticize the distribution, sketching, and management of applications.","Kubernetes can be used to automate the distribution, scaling, and management of applications.",False,"[""meaning"",""omission_addition"",""term""]",The translation has a minor error in the meaning with 'sketching' instead of 'scaling' and uses 'automaticize' instead of 'automate'.,1,passed
evaluation-v1-004::agent_rag,evaluation-v1-004,agent_rag,true,MAJOR,term,"[""term"",""omission_addition"",""fluency_grammar""]",improved,confirmed,Sup,"AI draft (Claude). Final fixed 'automaticize'/'sketching', but subject 'Kubernetes' still omitted ('It').","쿠버네티스는 애플리케이션의 배포, 스케일링, 관리를 자동화하는 데 사용할 수 있습니다.","Kubernetes can be used to automate the deployment, scaling, and management of applications.","It can be used to automaticize the deployment, sketching, and management of applications.","It can be used to automate the deployment, scaling, and management of applications.",False,"[""meaning""]",The candidate translation contains a typo for 'scaling' (sketching) instead of the correct term.,1,passed
evaluation-v1-009::agent,evaluation-v1-009,agent,true,MAJOR,term,"[""term"",""meaning""]",improved,confirmed,Sup,"AI draft (Claude). Initial: 'Road balance', 'single-point disorders', clause misattachment. Final corrected; minor: 'by preventing' adds causality not explicit in source.",로드 밸런싱은 여러 서버에 걸쳐 트래픽을 분산시켜 단일 지점 장애로부터 애플리케이션을 보호하고 성능을 향상시키는 기술입니다.,Load balancing is a technique that distributes traffic across multiple servers to protect applications from a single point of failure and improve performance.,Road balance is a technology that distributes traffic across multiple servers to protect your application and improve your performance from single-point disorders.,Load balancing is a technology that distributes traffic across multiple servers to protect your application and improve performance by preventing single-point failures.,False,"[""meaning"",""omission_addition""]","The translation correctly identifies 'load balancing' but uses 'Road balance' instead of the standard 'load balancing,' and 'single-point disorders' is awkwardly phrased.",1,passed
evaluation-v1-009::agent_rag,evaluation-v1-009,agent_rag,true,MAJOR,term,"[""term"",""meaning""]",same,confirmed,Sup,AI draft (Claude). Final identical to initial (retry_count 0); no errors fixed.,로드 밸런싱은 여러 서버에 걸쳐 트래픽을 분산시켜 단일 지점 장애로부터 애플리케이션을 보호하고 성능을 향상시키는 기술입니다.,Load balancing is a technique that distributes traffic across multiple servers to protect applications from a single point of failure and improve performance.,Road balance is a technology that distributes traffic across multiple servers to protect your application and improve your performance from single-point disorders.,Road balance is a technology that distributes traffic across multiple servers to protect your application and improve your performance from single-point disorders.,True,[],The translation is mostly accurate but has a minor error in the term 'single-point disorders' instead of 'single-point failure'.,0,passed
evaluation-v1-019::agent,evaluation-v1-019,agent,true,MAJOR,omission_addition,"[""omission_addition"",""term"",""fluency_grammar""]",improved,confirmed,Sup,"AI draft (Claude). Initial dropped subject, used 'distribution', casual run-on register. Final fully corrected.","웹사이트 개발은 복잡한 과정으로, 계획, 디자인, 개발, 테스트, 배포 등 여러 단계가 포함됩니다.","Website development is a complex process that involves several stages, including planning, design, development, testing, and deployment.","It's a complex process, planning, design, development, testing, distribution, all sorts of things.","Website development is a complex process consisting of multiple stages: planning, design, development, testing, and deployment.",False,"[""term"",""meaning"",""fluency_grammar""]",The translation is mostly accurate but has a term error (distribution vs deployment) and a slight issue with the phrase 'all sorts of things'.,1,passed
evaluation-v1-019::agent_rag,evaluation-v1-019,agent_rag,true,MAJOR,omission_addition,"[""omission_addition"",""fluency_grammar""]",same,confirmed,Sup,AI draft (Claude). Final identical; subject omission and casual run-on structure remain.,"웹사이트 개발은 복잡한 과정으로, 계획, 디자인, 개발, 테스트, 배포 등 여러 단계가 포함됩니다.","Website development is a complex process that involves several stages, including planning, design, development, testing, and deployment.","It's a complex process, planning, design, development, testing, deployment, all sorts of things.","It's a complex process, planning, design, development, testing, deployment, all sorts of things.",True,[],The translation is mostly accurate but adds 'all sorts of things' which isn't in the original source.,0,passed
evaluation-v1-024::agent,evaluation-v1-024,agent,true,MAJOR,omission_addition,"[""omission_addition"",""meaning""]",improved,confirmed,Sup,AI draft (Claude). Key term 'null' omitted in both initial and final; final only fixed 'you' -> 'the field'. Improved but still fails on meaning.,데이터베이스에서 널은 필드에 값이 없는 것을 나타냅니다.,"In databases, null indicates that a field does not have a value.",The database shows that you have no value in the field.,The database shows that the field has no value.,False,"[""term""]","The translation incorrectly uses 'you' instead of 'the field' as the subject, leading to a subject error.",1,passed
evaluation-v1-024::agent_rag,evaluation-v1-024,agent_rag,true,MAJOR,omission_addition,"[""omission_addition"",""meaning""]",same,confirmed,Sup,AI draft (Claude). Final identical; 'null' omission unresolved.,데이터베이스에서 널은 필드에 값이 없는 것을 나타냅니다.,"In databases, null indicates that a field does not have a value.",The database shows that you have no value in the field.,The database shows that you have no value in the field.,,[],,0,component_failure
evaluation-v1-027::agent,evaluation-v1-027,agent,true,MAJOR,omission_addition,"[""omission_addition"",""term""]",same,confirmed,Sup,AI draft (Claude). Final identical; 'Consul' omitted and 'organize' used for configure.,컨설은 분산 시스템에서 서비스를 발견하고 구성하는 데 사용되는 오픈 소스 도구입니다.,Consul is an open-source tool used to discover and configure services in a distributed system.,It's an open source tool that's used to discover and organize services in distributed systems.,It's an open source tool that's used to discover and organize services in distributed systems.,True,[],The translation accurately captures the meaning but uses 'organize' instead of 'configure' which is slightly ambiguous in the context of service discovery.,0,passed
evaluation-v1-027::agent_rag,evaluation-v1-027,agent_rag,true,MAJOR,omission_addition,"[""omission_addition"",""term""]",worse,confirmed,Sup,"AI draft (Claude). Initial omitted Consul and mistranslated configure as organize. Final introduced the incorrect entity 'Consult' (entity_value, final-only); therefore the revision is worse.",컨설은 분산 시스템에서 서비스를 발견하고 구성하는 데 사용되는 오픈 소스 도구입니다.,Consul is an open-source tool used to discover and configure services in a distributed system.,It's an open source tool that's used to discover and organize services in distributed systems.,Consult is an open source tool that is used to discover and organize services in distributed systems.,False,"[""omission_addition""]",The translation is mostly accurate but omits the proper noun '컨설' which is a key term in the source.,1,passed
