review_key,case_id,mode,manual_initial_needs_revision,manual_severity,severity_reviewer,severity_note,source_text,initial_translation,manual_primary_error,manual_error_types
evaluation-v1-004::agent,evaluation-v1-004,agent,true,,,,"쿠버네티스는 애플리케이션의 배포, 스케일링, 관리를 자동화하는 데 사용할 수 있습니다.","It can be used to automaticize the distribution, sketching, and management of applications.",term,"[""term"",""omission_addition"",""fluency_grammar""]"
evaluation-v1-004::agent_rag,evaluation-v1-004,agent_rag,true,,,,"쿠버네티스는 애플리케이션의 배포, 스케일링, 관리를 자동화하는 데 사용할 수 있습니다.","It can be used to automaticize the deployment, sketching, and management of applications.",term,"[""term"",""omission_addition"",""fluency_grammar""]"
evaluation-v1-009::agent,evaluation-v1-009,agent,true,,,,로드 밸런싱은 여러 서버에 걸쳐 트래픽을 분산시켜 단일 지점 장애로부터 애플리케이션을 보호하고 성능을 향상시키는 기술입니다.,Road balance is a technology that distributes traffic across multiple servers to protect your application and improve your performance from single-point disorders.,term,"[""term"",""meaning""]"
evaluation-v1-009::agent_rag,evaluation-v1-009,agent_rag,true,,,,로드 밸런싱은 여러 서버에 걸쳐 트래픽을 분산시켜 단일 지점 장애로부터 애플리케이션을 보호하고 성능을 향상시키는 기술입니다.,Road balance is a technology that distributes traffic across multiple servers to protect your application and improve your performance from single-point disorders.,term,"[""term"",""meaning""]"
evaluation-v1-019::agent,evaluation-v1-019,agent,true,,,,"웹사이트 개발은 복잡한 과정으로, 계획, 디자인, 개발, 테스트, 배포 등 여러 단계가 포함됩니다.","It's a complex process, planning, design, development, testing, distribution, all sorts of things.",omission_addition,"[""omission_addition"",""term"",""fluency_grammar""]"
evaluation-v1-019::agent_rag,evaluation-v1-019,agent_rag,true,,,,"웹사이트 개발은 복잡한 과정으로, 계획, 디자인, 개발, 테스트, 배포 등 여러 단계가 포함됩니다.","It's a complex process, planning, design, development, testing, deployment, all sorts of things.",omission_addition,"[""omission_addition"",""fluency_grammar""]"
evaluation-v1-024::agent,evaluation-v1-024,agent,true,,,,데이터베이스에서 널은 필드에 값이 없는 것을 나타냅니다.,The database shows that you have no value in the field.,omission_addition,"[""omission_addition"",""meaning""]"
evaluation-v1-024::agent_rag,evaluation-v1-024,agent_rag,true,,,,데이터베이스에서 널은 필드에 값이 없는 것을 나타냅니다.,The database shows that you have no value in the field.,omission_addition,"[""omission_addition"",""meaning""]"
evaluation-v1-027::agent,evaluation-v1-027,agent,true,,,,컨설은 분산 시스템에서 서비스를 발견하고 구성하는 데 사용되는 오픈 소스 도구입니다.,It's an open source tool that's used to discover and organize services in distributed systems.,omission_addition,"[""omission_addition"",""term""]"
evaluation-v1-027::agent_rag,evaluation-v1-027,agent_rag,true,,,,컨설은 분산 시스템에서 서비스를 발견하고 구성하는 데 사용되는 오픈 소스 도구입니다.,It's an open source tool that's used to discover and organize services in distributed systems.,omission_addition,"[""omission_addition"",""term""]"
