glossary_version,term_id,domain,source_term_ko,preferred_target_en,accepted_variants_json,disallowed_variants_json,replacement_rules_json,definition,source,notes
evaluation-v2,sw-deployment,software,배포,deployment,"[""deploy"", ""deploys"", ""deployed"", ""deploying""]","[""distribute"", ""distributes"", ""distributed"", ""distribution""]","{""distributes"": ""deploys"", ""distribute"": ""deploy"", ""distributed"": ""deployed"", ""distribution"": ""deployment""}",Releasing software to a target environment,Author-defined software glossary validated on synthetic pilot,Frozen before public evaluation candidate reference review; rules may not be tuned on evaluation outputs
evaluation-v2,sw-cache,software,캐시,cache,"[""caching"", ""cached""]","[""cachet""]","{""cachet"": ""cache""}",Temporary storage used to speed up repeated access,Author-defined software glossary validated on synthetic pilot,Frozen before public evaluation candidate reference review; rules may not be tuned on evaluation outputs
evaluation-v2,sw-failover,software,장애 조치,failover,"[""fail over""]","[""automatic disability measures"", ""disability measures"", ""failure action""]","{""automatic disability measures"": ""automatic failover"", ""disability measures"": ""failover"", ""failure action"": ""failover""}",Switching to a standby system after a failure,Author-defined software glossary validated on synthetic pilot,Frozen before public evaluation candidate reference review; rules may not be tuned on evaluation outputs
evaluation-v2,sw-load-balancing,software,부하 분산,load balancing,"[""load balancer""]","[""load dispersal"", ""load distribution"", ""men's distribution""]","{""load dispersal"": ""load balancing"", ""load distribution"": ""load balancing"", ""men's distribution"": ""load balancing""}",Distributing traffic across multiple computing resources,Author-defined software glossary validated on synthetic pilot,Frozen before public evaluation candidate reference review; rules may not be tuned on evaluation outputs
evaluation-v2,sw-ci,software,지속적 통합,continuous integration,"[""CI""]","[""persistent integration"", ""persistent integrated""]","{""persistent integration"": ""continuous integration"", ""persistent integrated"": ""continuous integration""}",Frequently merging and automatically validating code changes,Author-defined software glossary validated on synthetic pilot,Frozen before public evaluation candidate reference review; rules may not be tuned on evaluation outputs
evaluation-v2,sw-regression-test,software,회귀 테스트,regression testing,"[""regression test"", ""regression tests""]","[""return test"", ""return tests""]","{""return tests"": ""regression tests"", ""return test"": ""regression test""}",Testing that existing behavior still works after a change,Author-defined software glossary validated on synthetic pilot,Frozen before public evaluation candidate reference review; rules may not be tuned on evaluation outputs
evaluation-v2,sw-rollback,software,롤백,rollback,"[""roll back"", ""rolls back"", ""rolled back""]","[""roll to""]","{""roll to"": ""roll back to""}",Restoring a previously known software version or state,Author-defined software glossary validated on synthetic pilot,Frozen before public evaluation candidate reference review; rules may not be tuned on evaluation outputs
evaluation-v2,sw-memory-leak,software,메모리 누수,memory leak,"[""memory leaks"", ""memory leakage""]","[]","{}",Memory that is no longer needed but is not released,Author-defined software glossary validated on synthetic pilot,Frozen before public evaluation candidate reference review; no evaluation-derived rules
evaluation-v2,sw-access-control,software,접근 제어,access control,"[""access controls""]","[]","{}",Rules that determine who can access a resource,Author-defined software glossary validated on synthetic pilot,Frozen before public evaluation candidate reference review; no evaluation-derived rules
evaluation-v2,sw-vector-search,software,벡터 검색,vector search,"[""vector retrieval"", ""vector-based search""]","[]","{}",Retrieval based on similarity between numerical embeddings,Author-defined software glossary validated on synthetic pilot,Frozen before public evaluation candidate reference review; no evaluation-derived rules
evaluation-v2,sw-server,software,서버,server,"[""servers""]","[]","{}",A computer or program that provides services to other programs or devices,Author-defined software glossary added from source-only coverage EDA,English references and model outputs were not used to add this term
evaluation-v2,sw-software,software,소프트웨어,software,"[]","[]","{}",Programs and related data used by a computer,Author-defined software glossary added from source-only coverage EDA,English references and model outputs were not used to add this term
evaluation-v2,sw-database,software,데이터베이스,database,"[""databases""]","[]","{}",An organized collection of data managed for access and update,Author-defined software glossary added from source-only coverage EDA,English references and model outputs were not used to add this term
evaluation-v2,sw-operating-system,software,운영 체제,operating system,"[""operating systems"", ""OS""]","[]","{}",System software that manages computer hardware and applications,Author-defined software glossary added from source-only coverage EDA,English references and model outputs were not used to add this term
evaluation-v2,sw-cloud-computing,software,클라우드 컴퓨팅,cloud computing,"[]","[]","{}",Computing resources delivered over a network on demand,Author-defined software glossary added from source-only coverage EDA,English references and model outputs were not used to add this term
evaluation-v2,sw-open-source,software,오픈 소스,open source,"[""open-source""]","[]","{}",Software whose source code is available under terms permitting inspection or modification,Author-defined software glossary added from source-only coverage EDA,English references and model outputs were not used to add this term
