case_id,mode,source_text,reference_text,initial_translation,final_translation,agent_initial_passed,agent_initial_error_types,retry_count,stop_reason,manual_initial_needs_revision,manual_primary_error,manual_error_types,pairwise_outcome,review_status,reviewer,note
pilot-001,agent_rag,개발팀은 금요일에 새 버전을 운영 환경에 배포한다.,The development team will deploy the new version to the production environment on Friday.,Development team deploys a new version of the operating environment on Friday.,Development team deploys a new version of the operating environment on Friday.,True,[],0,passed,,,,,,,
pilot-002,agent_rag,설정이 바뀌면 오래된 캐시를 즉시 삭제해야 한다.,"When the configuration changes, the stale cache must be cleared immediately.","If the settings change, the old cache must be deleted immediately.","If the settings change, the old cache must be deleted immediately.",True,[],0,passed,,,,,,,
pilot-003,agent_rag,주 서버가 중단되면 자동 장애 조치가 대기 서버를 활성화한다.,"If the primary server stops, automatic failover activates the standby server.","When the main server is suspended, automatic failover activate the waiting server.","When the main server is suspended, automatic failover activates the waiting server.",False,"[""fluency_grammar""]",1,passed,,,,,,,
pilot-004,agent_rag,부하 분산은 여러 서버에 요청을 고르게 전달한다.,Load balancing distributes requests evenly across multiple servers.,Load balancing sends requests to multiple servers.,Load balancing sends requests to multiple servers.,True,[],0,passed,,,,,,,
pilot-005,agent_rag,지속적 통합 파이프라인은 커밋마다 테스트를 실행한다.,The continuous integration pipeline runs tests for every commit.,The continuous integration pipeline will run a test every time you commit.,The continuous integration pipeline will run a test every time you commit.,True,[],0,passed,,,,,,,
pilot-006,agent_rag,릴리스 전에 전체 회귀 테스트를 다시 실행하자.,Let us rerun the full regression test suite before the release.,Let's run the full regression test again before release.,Let's run the full regression test again before release.,True,[],0,passed,,,,,,,
pilot-007,agent_rag,오류율이 증가하면 이전 버전으로 롤백한다.,"If the error rate increases, roll back to the previous version.","If the error rate increases, roll back to the previous version.","If the error rate increases, roll back to the previous version.",True,[],0,passed,,,,,,,
pilot-008,agent_rag,장시간 실행 후 메모리 누수가 발견되었다.,A memory leak was detected after the process ran for a long time.,Memory leaks were found after long hours of running.,Memory leaks were found after long hours of running.,True,[],0,passed,,,,,,,
pilot-009,agent_rag,관리자 화면에는 역할 기반 접근 제어를 적용한다.,Role-based access control is applied to the administration screen.,A role-based access control is used for the manager screen.,A role-based access control is used for the manager screen.,True,[],0,passed,,,,,,,
pilot-010,agent_rag,벡터 검색은 의미가 비슷한 문서를 찾는 데 사용된다.,Vector search is used to find semantically similar documents.,The vector search is used to find similar documents with meaning.,The vector search is used to find similar documents with meaning.,True,[],0,passed,,,,,,,
pilot-011,agent_rag,캐시와 부하 분산을 함께 사용해 응답 지연을 줄였다.,We reduced response latency by using caching and load balancing together.,Cache and his load balancing have been used to reduce response delays.,Cache and load balancing have been used to reduce response delays.,False,"[""term"", ""meaning"", ""omission_addition"", ""fluency_grammar""]",1,passed,,,,,,,
pilot-012,agent_rag,오늘 회의는 오후 세 시에 시작한다.,Today's meeting starts at three in the afternoon.,This meeting begins at three o'clock in the afternoon.,This meeting begins at three o'clock in the afternoon.,True,[],0,passed,,,,,,,
